25-05-09 21:07:12.121 [main] INFO  c.v.j.JournalismApplication - Starting JournalismApplication using Java 21.0.6 with PID 27372 (C:\Users\Vividh\OneDrive\Desktop\Projects\journalismApp\journalismApp\target\classes started by Vividh in C:\Users\Vividh\OneDrive\Desktop\Projects\journalismApp\journalismApp) 
25-05-09 21:07:12.127 [main] INFO  c.v.j.JournalismApplication - No active profile set, falling back to 1 default profile: "default" 
25-05-09 21:07:12.915 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
25-05-09 21:07:12.982 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 60 ms. Found 2 MongoDB repository interfaces. 
25-05-09 21:07:13.563 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http) 
25-05-09 21:07:13.580 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
25-05-09 21:07:13.583 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
25-05-09 21:07:13.583 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.39] 
25-05-09 21:07:13.638 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
25-05-09 21:07:13.638 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1420 ms 
25-05-09 21:07:13.992 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster1"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.6+8-LTS-188"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='darotevishnu', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@69f2cb04, com.mongodb.Jep395RecordCodecProvider@13803a94, com.mongodb.KotlinCodecProvider@b4732dc]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster1.vbc50oi.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-ncgzqt-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster1', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null} 
25-05-09 21:07:14.233 [cluster-ClusterId{value='681e21296191e047f7a238c7', description='Cluster1'}-srv-cluster1.vbc50oi.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017 to client view of cluster 
25-05-09 21:07:14.274 [cluster-ClusterId{value='681e21296191e047f7a238c7', description='Cluster1'}-srv-cluster1.vbc50oi.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017 to client view of cluster 
25-05-09 21:07:14.278 [cluster-ClusterId{value='681e21296191e047f7a238c7', description='Cluster1'}-srv-cluster1.vbc50oi.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017 to client view of cluster 
